Job Title,Location,Rating,monthly,min_salary_rupees,max_salary_rupees,avg_salary_rupees,company_name_cleaned
Data Scientist 3,Bengaluru,4.1,0,400000,500000,450000.0,Amadeus IT Group SA
Marketing Analytics Specialist,Hyderābād,3.7,0,200000,700000,450000.0,Zelis
Senior Data Scientist,Bengaluru,3.4,0,500000,900000,700000.0,First Advantage
Specialist Data Scientist,,4.3,0,1000000,1000000,1000000.0,NICE Systems
Technical Specialist - Data Scientist,Gurgaon,3.8,0,600000,800000,700000.0,Fidelity International
AI/ML Data Scientist,Hyderābād,4.0,0,400000,500000,450000.0,Sanofi
Data Scientist I,,3.9,0,400000,1000000,700000.0,AGCO
Senior Statistical Data Scientist,Chennai,3.8,0,500000,700000,600000.0,Pfizer
Sr Data Scientist - ML/OR,Bengaluru,3.4,0,400000,1000000,700000.0,Target
C13-VP-Data Scientist-Fraud Model Development -PUNE,Pune,3.7,0,300000,400000,350000.0,Citigroup
Data Scientist II - GBS IND,Chennai,3.9,0,200000,700000,450000.0,Bank of America
Senior Data Scientist,Noida,3.5,0,300000,1000000,650000.0,Optum
Data Scientist Associate Sr,Bengaluru,4.1,0,300000,500000,400000.0,JPMorganChase
Data Scientist,Bengaluru,3.8,0,900000,900000,900000.0,Kyndryl
Data Scientist - C13 - VP - PUNE,Pune,3.7,0,300000,400000,350000.0,Citigroup
Lead Data Scientist-Stores,Bengaluru,4.2,0,400000,400000,400000.0,Target
Senior Data Scientist,Bengaluru,4.7,0,0,0,0.0,MASTER MIND CONSULTANCY
AI/ML Engineer,Noida,4.1,0,400000,500000,450000.0,Techahead Software Pvt. Ltd.
"(Remote, India) Sr. Data Scientist, Analytics R&D",Navi Mumbai,4.4,0,400000,1000000,700000.0,PulsePoint
Senior Data Scientist,Bengaluru,3.3,0,400000,700000,550000.0,Mico
Machine Learning Engineer,India,3.3,0,500000,500000,500000.0,National Credit Recovery Inc
AI/ML - Jr & Sr Positions,Remote,,1,5000,5000,5000.0,CCPL
"Associate Specialist, Data Science",Noida,3.5,0,500000,900000,700000.0,Pentair
Commercial Data Scientist,Bengaluru,3.6,0,700000,900000,800000.0,ExxonMobil
Data Scientist,Bengaluru,4.5,0,100000,1000000,550000.0,PradeepIT Consulting Services
Senior Data Scientist | Machine Learning Engineer (MLE),Pune,,0,1100000,1100000,1100000.0,hirezy.ai
Senior Data Scientist,Noida,4.2,0,200000,600000,400000.0,Tractable
Gen AI Agentic AI - Jr & Sr Positions,Remote,,1,11000,11000,11000.0,CCPL
Senior Data Scientist,Bengaluru,4.0,0,400000,800000,600000.0,Caterpillar
Decision Scientist,Bengaluru,4.1,0,400000,900000,650000.0,PhonePe
Senior Data Scientist,,3.4,0,200000,600000,400000.0,Data Axle
Sr. Data Scientist,Pune,3.7,0,500000,800000,650000.0,LogicMonitor
Data Scientist,Hyderābād,3.8,0,500000,800000,650000.0,NTT DATA
AI Developer,,3.8,0,300000,1000000,650000.0,Weekday
"Associate - Data, Insights & Analytics",Bengaluru,4.1,0,700000,1000000,850000.0,JPMorganChase
AI ML Engineer,Remote,4.5,0,400000,1500000,950000.0,Welkin Soft Tech Pvt. Ltd
SR DATA SCIENTIST I GLOBAL,Gurgaon,3.8,0,200000,1000000,600000.0,McCormick
APPLIED AI SCIENTIST,Cochin,4.0,0,500000,600000,550000.0,GadgEon
Lead Data Scientist,Hyderābād,4.0,0,600000,600000,600000.0,Technovert
Lead Data Scientist,Gurgaon,4.1,0,800000,900000,850000.0,S&P Global
CCB_Data and Analytics - AI ML Associate,Mumbai,4.1,0,200000,300000,250000.0,JPMorganChase
Data Science Trainer,India,4.7,0,800000,1200000,1000000.0,Innomatics Research Labs
Principle Applied Scientist - Computer VIsion,Bengaluru,3.9,0,300000,600000,450000.0,RadiusAI
"Data Engineer, Product Analytics",Bengaluru,3.8,0,400000,900000,650000.0,Meta
Lead Data Scientist-Stores,Bengaluru,3.4,0,400000,1000000,700000.0,Target
Machine Learning Engineer - India,Noida,3.6,0,300000,700000,500000.0,Escalent
Machine Learning Engineer 2,Noida,4.2,0,3600000,6000000,4800000.0,Adobe
Senior Data Scientist - Supply Chain Management (m/f/d),Bengaluru,3.9,0,300000,800000,550000.0,aioneers
Machine Learning Engineer,India,3.6,1,6000,8000,7000.0,Vidhema Technologies
Digital-Staff-Machine Learning Developer,Chennai,3.7,0,300000,600000,450000.0,EY
Manager_Lead_Data Scientist_Pune,Pune,3.9,0,600000,900000,750000.0,Vodafone
Faculty - Data Science,Hyderābād,3.9,0,500000,800000,650000.0,Naresh I Technologies
Data Science Trainer,Cochin,4.7,1,18000,18000,18000.0,KOMPETENZEN TECHNOLOGIES
Data Science Trainer,Thāne,2.4,1,20000,35000,27500.0,Nettech India
Data Science Engineer 3,Noida,4.2,0,1000000,1000000,1000000.0,Adobe
AI/ML Expert,Chennai,4.0,0,800000,800000,800000.0,Ford Motor Company
Principal Data Scientist,Bengaluru,4.1,0,400000,900000,650000.0,Honeywell
Data Scientist Manager,Pune,4.7,0,0,0,0.0,MASTER MIND CONSULTANCY
Senior Data Scientist,Mumbai,4.7,0,500000,900000,700000.0,Phygital Insights
"Cloud Engineer, AI",Bengaluru,4.3,0,300000,1000000,650000.0,Google
